threshold,detection_rate_recall,correct_class_rate,false_positive_rate,precision,accuracy,tp,fp,fn,tn
0.0,0.9929,0.9909,0.0189,0.9833,0.9863,15419,262,110,13626
0.05,0.9929,0.9909,0.0189,0.9833,0.9863,15419,262,110,13626
0.1,0.9929,0.9909,0.0189,0.9833,0.9863,15419,262,110,13626
0.15,0.9929,0.9909,0.0189,0.9833,0.9863,15419,262,110,13626
0.2,0.9929,0.9909,0.0189,0.9833,0.9863,15419,262,110,13626
0.25,0.9929,0.9909,0.0189,0.9833,0.9863,15419,262,110,13626
0.3,0.9929,0.9909,0.0189,0.9833,0.9863,15418,262,111,13626
0.35,0.9929,0.9909,0.0189,0.9833,0.9863,15418,262,111,13626
0.4,0.9929,0.9909,0.0189,0.9833,0.9863,15418,262,111,13626
0.45,0.9923,0.9905,0.0186,0.9835,0.9862,15410,259,119,13629
0.5,0.992,0.9904,0.0179,0.9841,0.9865,15404,249,125,13639
0.55,0.9912,0.99,0.0155,0.9862,0.9874,15392,215,137,13673
0.6,0.9904,0.9895,0.0122,0.9891,0.9887,15380,169,149,13719
0.65,0.9889,0.9885,0.0084,0.9925,0.99,15357,116,172,13772
0.7,0.9876,0.9871,0.0037,0.9967,0.9915,15336,51,193,13837
0.75,0.9865,0.986,0.003,0.9973,0.9912,15319,42,210,13846
0.8,0.9853,0.9849,0.0022,0.998,0.991,15300,30,229,13858
0.85,0.9836,0.9834,0.0013,0.9988,0.9906,15275,18,254,13870
0.9,0.9826,0.9824,0.0006,0.9994,0.9904,15259,9,270,13879
0.95,0.9802,0.98,0.0004,0.9996,0.9893,15221,6,308,13882
